prefix,depth,reported,inserted_new_regs,status,ts
A,1,383558,,SPLIT,2026-01-30T17:46:17Z
B,1,98744,,SPLIT,2026-01-30T17:46:33Z
C,1,6330,6330,OK,2026-01-30T17:46:38Z
D,1,183789,,SPLIT,2026-01-30T17:47:06Z
E,1,140927,,SPLIT,2026-01-30T17:47:28Z
F,1,87685,,SPLIT,2026-01-30T17:47:44Z
G,1,21017,,SPLIT,2026-01-30T17:47:48Z
H,1,271627,,SPLIT,2026-01-30T17:48:27Z
I,1,255513,,SPLIT,2026-01-30T17:48:59Z
J,1,43309,,SPLIT,2026-01-30T17:49:05Z
K,1,86406,,SPLIT,2026-01-30T17:49:15Z
L,1,136400,,SPLIT,2026-01-30T17:49:31Z
M,1,236987,,SPLIT,2026-01-30T17:49:58Z
N,1,196737,,SPLIT,2026-01-30T17:50:25Z
O,1,69535,,SPLIT,2026-01-30T17:50:33Z
P,1,7237,6840,OK,2026-01-30T17:50:38Z
Q,1,54831,,SPLIT,2026-01-30T17:50:44Z
R,1,220670,,SPLIT,2026-01-30T17:51:07Z
S,1,221745,,SPLIT,2026-01-30T17:51:30Z
T,1,79040,,SPLIT,2026-01-30T17:51:39Z
